"Date","Time","R_or_D","screen_name","text","hashtags"
"9/21/16",19:07:26,"R","JohnBoozman","Fighting to keep catfish safe for #Arkansas. @USDA Sec. says 'no question' agency inspection 'more thorough'  https://t.co/tfXGn2B7gg","Arkansas"
"9/21/16",18:45:35,"R","JohnBoozman","Great commitment by @GeorgiaPacific to the community of Gurdon, #Arkansas 
https://t.co/BESXdXxspC","Arkansas"
"9/21/16",18:19:58,"R","JohnBoozman",".@SenatorCardin &amp; I are pushing for Wall of Remembrance to recognize #KoreanWar sacrifices &amp; got Senate approval: https://t.co/d0AwiQ0zF5","KoreanWar"
"9/21/16",17:26:51,"R","JohnBoozman","I was honored to nominate Buck &amp; DeAndra Gibson of Searcy, #Arkansas as a 2016 Congressional Angels in Adoption. Thank you for your advocacy https://t.co/OahgqwIcq2","Arkansas"
"9/21/16",15:21:00,"R","JohnBoozman","Col. (retired) English shares what he hopes people will learn from his intvw that will be part of @librarycongress #Veterans History Project https://t.co/cFctNNYCUF","Veterans"
"7/15/16",14:13:08,"R","JohnBoozman","Appreciate my colleague @SenatorLeahy helping lead the charge to recognize our nation's tree farmers https://t.co/E1RDBDYWgJ",
"7/15/16",00:45:46,"R","JohnBoozman","Our prayers go out to the people of France after yet another horrific terror attack. We must be united against terror. We stand with #France","France"
"7/15/16",00:17:01,"R","JohnBoozman","Congrats #BYD on the victory in the Battle of the Golden #Razorback. Thanks to @SenTomCotton's team for a great game https://t.co/cbiSgLYaYj","BYD Razorback"
"7/5/16",21:25:19,"R","JohnBoozman","Thanks @RepWesterman &amp; @RepFrenchHill for participating in my #Arkansas Summer Intern Speaker Series. #arpx https://t.co/basWkIiIoq","Arkansas arpx"
"7/5/16",20:26:01,"R","JohnBoozman","Connecting with #Arkansans 'Telephone Town Hall Sheds Light On Concerns Of Arkansans' via @BoonevilleDemo https://t.co/ZS3J3YxCU2","Arkansans"
"7/5/16",19:43:09,"R","JohnBoozman","Anita served w/@arkansasguard before joining my team. She is a great asset &amp; advocate for #Arkansas #veterans. https://t.co/K6JiAGTC77","Arkansas veterans"
"7/5/16",18:58:02,"R","JohnBoozman","Great news for @SenateCommerce 'OKs waiver for @DQSteamboat.' Proud to support the bill via @ArkansasOnline https://t.co/p9i9GTSq03",
"2/23/16",20:39:14,"R","JohnBoozman","POTUS is wrong on #Gitmo. Transferring detainees to US soil creates needless national security risks: https://t.co/eJyhjkPDvQ","Gitmo"
"2/23/16",14:45:01,"R","JohnBoozman","Congrats @MidAmSciMuseum on being a finalist for the @US_IMLS #NATIONALMEDAL. https://t.co/PSVlXQ9UHL What a great accomplishment. #ARnews","NATIONALMEDAL ARnews"
"2/23/16",13:48:30,"R","JohnBoozman","I’m live with Dale Hoffman of @MountainTalk97. Listen live https://t.co/T4bQXxAPCO",
"2/18/16",20:26:45,"R","JohnBoozman","Congrats to 2016 #DoleFellow Helen Perry of Rogers, #Arkansas. Thank you to the @Dolefoundation for your advocacy. https://t.co/9xBhSAkPxp","DoleFellow Arkansas"
"2/18/16",15:12:46,"R","JohnBoozman","Happy birthday to my congressman @rep_stevewomack!",
"11/30/15",17:28:26,"R","JohnBoozman","I helped kick off the Christmas season by reading holiday stories to children at Bella Vista library this weekend. https://t.co/8IPqPUluOl",
"10/29/15",19:02:41,"R","JohnBoozman","Thanks for the invite. Wish I could've been there in person. Great questions from the class.   https://t.co/19e9hgFQBm",
"9/29/15",20:15:39,"R","JohnBoozman","Good visit w/@SpringdaleCofC about economic development. We talked Highway Bill, healthcare, EPA overreach &amp; more. http://t.co/AC8TlJjXQx",
"9/29/15",18:40:19,"R","JohnBoozman","Congratulations to Arkansas's five National Blue Ribbon schools: http://t.co/4j6kQiAsVG",
"7/14/15",16:03:29,"R","JohnBoozman","Congrats to all involved in the opening of the next section of I-49 @AHTD @AHTDScott @AsaHutchinson @FtSmithARK http://t.co/29UOty6Qp8",
"7/14/15",16:00:53,"R","JohnBoozman","Proud to have my staff at the ribbon cutting for the next section of I-49 connecting Barling to Hwy 71 South. Congratuations! #I49 #arpx","I49 arpx"
"7/14/15",14:55:57,"R","JohnBoozman","We must ensure that #Iran never becomes a nuclear power. This deal give us little confidence in that regard. http://t.co/r1dC15l0ks","Iran"
"6/9/15",19:48:51,"R","JohnBoozman","Requesting more time to share your comments with @ENERGY about the Plains &amp; Eastern Clean Line Transmission Project http://t.co/wBdHzSBNiF",
"10/22/14",20:04:45,"R","JohnBoozman","Students looking for spring internships in Washington &amp; AR --read about opportunities in my office http://t.co/ZB9lUeUN6f",
"5/21/14",22:01:03,"R","JohnBoozman","A thank you to Arkansans in our latest e-newsletter. http://t.co/u8SPFYHuEb",
"4/1/14",21:27:19,"R","JohnBoozman","Thanks @ASRC4 for meeting with us today and discussing the legislation important to your patients and your profession.",
"4/1/14",20:59:40,"R","JohnBoozman","Thanks to @bwdh2o for the honor of 2013 Legislator of the Year Award from the Fair Water Users Coalition  http://t.co/eHgLcTLAUG",
"4/1/14",12:39:27,"R","JohnBoozman","We're looking forward to meeting with @lrchamber this morning in our DC office.",
"4/1/14",12:37:17,"R","JohnBoozman","@nc_chadwick We're happy to have you as part of our team this summer.",
