"Date","Time","R_or_D","screen_name","text","Before_or_After","hashtags","Nominate_dim1","total_victims","Before_or_After_Shooting","case","race","mentions_terror","Shooting_related_terrorism"
"10/2/15",15:45:00,"R","CongCulberson","Iran owes $43.5 billion to victims of terror. #NotOneCent of sanction relief until Iran pays up. RT if you agree http://t.co/CbYZv3abzS","After","NotOneCent",0.504,,"After","General-Iran",,1,0
"10/2/15",17:54:28,"R","PatrickMcHenry","terrorist proxies. Thanks @RepMeehan for your leadership on this important issue. Learn more here http://t.co/uwjj7dsWas. #NotOneCent (2/2)","After","NotOneCent",0.581,,"After","General",,1,0
"10/2/15",18:31:18,"D","RepGwenMoore",".@POTUS to media: post numbers of those killed through terrorist attacks/gun violence. US news orgs have responded. http://t.co/SUfimKMDpz","After",,-0.53,,"After","General",,1,0
"10/2/15",20:16:27,"R","RepDLamborn","It is a dangerous fantasy for the Obama Admin. to think they are going to move #Guantanamo terrorists to Colorado http://t.co/nTXXmIoGiB","After","Guantanamo",0.69,,"After","General-Guantanamo",,1,0
"10/2/15",20:47:26,"R","RepMikeCoffman","This is outrageous-I’ll do everything I can to stop it- these terrorists should be at Guantanamo not CO http://t.co/VkFi7nvBTh #copolitics",,,,,"After","General-Guantanamo",,1,0
"10/2/15",21:06:19,"R","HerreraBeutler","Voted so Iran receives #NotOneCent in sanction relief until it pays the families victimized by its terrorist actions https://t.co/wU2lqRdSti","After","NotOneCent",0.381,,"After","General-Iran",,1,0
"10/22/14",06:00:00,"R","SenDanCoats","I wrote an op-ed in today's @USATODAY: Don't take away anti-terror tools http://t.co/UlVdXriwT8",,,,,"Before","France Attacks",,1,0
"10/22/14",20:15:37,"R","JudgeTedPoe","Check out my latest op-ed on http://t.co/zRKdDviN2O about how illegal poaching is funding terrorism.... http://t.co/qpuU1RtF6C","Before",,0.594,,"Before","General-Islamic",,1,0
"10/29/15",13:48:24,"R","JudgeTedPoe","Today's Terrorism Update:
Pentagon officials announced today that Ahmed Ould Abdel Aziz, a detainee at the... https://t.co/3WrqknKySJ","Before",,0.594,,"Before","General-Islamic",,1,0
"11/25/15",15:17:21,"R","RepKevinBrady","Brady: Combating terrorism and foreign fighter travel https://t.co/KplwlnB0al via @ScoopHouston","Before",,0.518,,"Before","General",,1,0
"11/27/15",15:37:57,"D","BradSherman","Will be on @msnbc at 11:30am (8:30amPT) discussing #terrorism #isis and U.S. Foreign policy","After","terrorism isis",-0.341,12,"After","General-Islamic",,1,0
"11/27/15",22:06:04,"D","RepAdamSchiff","Will be talking with @MarthaRaddatz on @ThisWeekABC on Sunday about terror threat &amp; ISIS strategy in Syria and Iraq. https://t.co/LZBKEoCWIY","After",,-0.348,12,"After","General-Islamic",,1,0
"11/28/15",18:08:41,"D","RepAdamSchiff","As we continue to confront terrorist threats, reforms such as these are a model of how privacy and security need not be mutually exclusive","After",,-0.348,,"After","General",,1,0
