Date,Time,R_or_D,screen_name,text,Before_or_After,hashtags,Nominate_dim1,total_victims,Before_or_After_Shooting,case,race,mentions_terror,Shooting_related_terrorism
6/13/16,17:53:22,R,RepFleming,We mourn the loss of life in this terrorist attack: https://t.co/rsxKT5CXHw,After,,0.59,,After,Inside,Other,1,1
6/13/16,17:53:42,R,RepBrianBabin,#Orlando terrorist attack yet another sobering reminder we are under attack from Islamic Jihadists. https://t.co/dI5gzm8kWW,After,Orlando,0.713,,After,Inside,Other,1,1
6/13/16,17:53:43,D,RepCheri,"To all mourning the terrorist attack in #Orlando, know that I stand w/ you in pride, resolve &amp; compassion #LGBT https://t.co/jBBPgE9e0P",After,Orlando LGBT,-0.237,,After,Inside,Other,1,1
6/13/16,17:58:36,D,RepAdamSchiff,Donald Trump's first impulse after the terror attack was to congratulate himself. How very Presidential. https://t.co/VDC6WVRN2E,After,,-0.348,,After,Inside,Other,1,1
6/13/16,17:59:10,D,RepAdamSchiff,"Donald Trump's next impulse after terror attack was to ban Muslims again; how predictable, how counter-productive. https://t.co/VDC6WVRN2E",After,,-0.348,,After,Inside,Other,1,1
6/13/16,18:18:54,R,RepStefanik,Today the flags of the @uscapitol are at half-staff to honor the victims of the terrorist attack in Orlando. https://t.co/gjAkdNoaqa,After,,0.219,,After,Inside,Other,1,1
6/13/16,18:24:17,R,RepSteveChabot,My thoughts &amp; prayers go out to the families &amp; loved ones of the victims of the horrific Orlando terrorist attack https://t.co/il4PQO2YKJ,After,,0.584,,After,Inside,Other,1,1
6/13/16,18:25:12,R,RepJoeWilson,Speaking with @PeterZampa from @WRDW_WAGT on the most recent act of terror in Orlando https://t.co/JY68ouiJMQ,After,,0.547,,After,Inside,Other,1,1
6/13/16,18:39:27,D,LorettaSanchez,"Let's stand in solidarity with the LGBTQ community against hate, gun violence &amp; terrorism #PrayForOrlando https://t.co/Bj2xILHAOl",After,PrayForOrlando,-0.367,,After,Inside,Other,1,1
6/13/16,18:42:28,D,RepGeneGreen,Our prayers are w/the victims of Sunday’s horrifying act of terror at #Orlando’s Pulse gay nightclub. #HTX is w/you. https://t.co/K5j5YkIZRr,,,,,After,Inside,Other,1,1
6/13/16,19:04:51,R,RepBradWenstrup,My full statement on the terrorist attack in Orlando: https://t.co/9YmYDVUyyD https://t.co/oIcPmoVS3x,After,,0.576,,After,Inside,Other,1,1
6/13/16,19:06:47,R,RepSamGraves,My thoughts continue to be with all of those grieving from the act of terrorism Sunday in FL.Say a prayer for the victims and their families,After,,0.432,,After,Inside,Other,1,1
