Date,Time,R_or_D,Before_or_After,screen_name,text,hashtags,Nominate_dim1,race,mentions_terror
6/18/15,13:46:38,D,After,BillPascrell,My heartfelt condolences go out to Charleston today as they mourn last evening’s tragic shooting.,,-0.366,White,0
8/5/12,23:22:21,D,After,StevenHorsford,"Today's shooting in WI is a tragedy. My heart goes out to all the victims, their families and my friends in the Sikh community. #nv04",nv04,-0.355,White,0
7/20/12,16:02:13,D,After,StevenHorsford,Today should be a day absent of politics and full of thoughts and prayers for the families affected by the shooting tragedy in Aurora.,,-0.355,White,0
10/1/15,20:40:07,D,After,repbenraylujan,My thoughts and prayers are with the victims and families of all those affected by the tragic shooting at Umpqua Community College.,,-0.369,White,0
6/18/15,15:52:05,D,After,repbenraylujan,My thought and prayers go out to the people of South Carolina following last night's tragic shooting. #CharlestonShooting,CharlestonShooting,-0.369,White,0
12/14/12,18:48:14,D,After,repbenraylujan,"The shooting in CT is a terrible tragedy and my thoughts and prayers are with the children, families, and entire community.",,-0.369,White,0
12/14/12,22:26:25,D,After,louiseslaughter,I am grief-stricken for today's innocent victims. My full statement on this tragic event &amp; senseless gun violence: http://t.co/11d2nIFA,,-0.465,White,0
7/8/16,20:51:55,D,After,RepJeffries,The @OfficialCBC discusses way forward in the midst of pain &amp; tragedy → https://t.co/cIt5uyyQZw https://t.co/cM9SWicJ9Z,,-0.484,Black,0
7/8/16,9:59:17,D,After,RepJeffries,Tragedy strikes the Dallas PD.  Pray for all the victims. We must learn to love each other,,-0.484,Black,0
6/12/16,12:53:54,D,After,RepJeffries,Tragedy strikes another American city this morning #PrayForOrlando,PrayForOrlando,-0.484,Other,0
11/28/15,16:47:57,D,After,RepJeffries,20 prior civilian complaints + 16 shots + 15 seconds = Another American Tragedy #LaquanMcDonald https://t.co/D6Uwtj4nhD,LaquanMcDonald,-0.484,White,0
6/18/15,19:25:14,D,After,RepJeffries,Statement on the tragic shooting at South Carolina’s Emanuel AME church http://t.co/8xVaq4C7CC  #CharlestonShooting,CharlestonShooting,-0.484,White,0
7/8/16,10:58:29,D,After,NitaLowey,My heart breaks for the victims of the tragedy in Dallas and their families. We must stand with all those who want peace.,,-0.388,Black,0
9/17/13,14:50:26,D,After,NitaLowey,"As we mourn the victims of Navy Yard tragedy, flag at U.S. Capitol is rightfully at half-mast: http://t.co/292xfMVSXo",,-0.388,Black,0
12/14/12,17:10:33,D,After,NitaLowey,"Praying for victims and families in Newtown, CT.  A senseless and heartbreaking tragedy.",,-0.388,White,0
10/1/15,21:38:34,D,After,RepGraceMeng,Terrible tragedy in #Oregon. Thoughts-prayers to all impacted by #UCCShooting. Must stop all this senseless gun violence around the country.,Oregon UCCShooting,-0.383,White,0
10/1/15,19:06:48,D,After,RepKathleenRice,Just heartbreaking to learn of yet another mass shooting at an American school. Praying for all those affected by this tragedy. #UCCShooting,UCCShooting,-0.294,White,0
