Name,State,Republican_Democrat,House_Senate,Years_in_office,Joined_Twitter,Twitter_ID,X8,Tweets
Steve Cohen,Tennessee,D,H,2007-present,10-Jul,@RepCohen,NA,7680
Diane Black,Tennessee,R,H,2011-present,10-Feb,@RepDianeBlack,NA,5766
Louie Gohmert,Texas,R,H,2005-present,9-Feb,@replouiegohmert,NA,6577
Ted Poe,Texas,R,H,2005-present,9-Sep,@JudgeTedPoe,NA,5401
Michael McCaul,Texas,R,H,2005-present,9-Mar,@RepMcCaul,NA,3308
Ron Paul,Texas,R,H,1997-2013,11-Apr,@RonPaul,NA,5597
Sheila Jackson-Lee,Texas,D,H,1995-present,9-Oct,@JacksonLeeTX18,NA,5494
Randy Neugebauer,Texas,R,H,2003-2017,9-Apr,@RandyNeugebauer,NA,3820
Bill Flores,Texas,R,H,2011-present,11-Jan,@RepBillFlores,NA,7961
Beto O'Rourke,Texas,D,H,2013-Present,13-Jan,@RepBetoORourke,NA,4064
Joaquin Castro,Texas,D,H,2013-Present,10-Dec,@JoaquinCastrotx,NA,11.4k
Lamar S Smith,Texas,R,H,2013-Present,8-Aug,@LamarSmithTX21,NA,3409
Kenny Marchant,Texas,R,H,2005-present,9-Mar,@RepKenMarchant,NA,5099
Lloyd Doggett,Texas,D,H,1995-present,10-Jun,@RepLloydDoggett,NA,4967
Michael C. Burgess,Texas,R,H,2003-Present,8-Aug,@michaelcburgess,NA,5059
Pete Olson,Texas,R,H,2009-present,9-Feb,@RepPeteOlson,NA,6478
Pete Gallego,Texas,D,H,2013-2015,NA,NA,NA,3545
Roger Williams,Texas,R,H,2013-Present,13-Jan,@RepRWilliams,NA,3643
Will Hurd,Texas,R,H,2015-present,15-Jan,@HurdOnTheHill,NA,4737
Henry Cuellar,Texas,D,H,2005-present,10-Nov,@RepCuellar,NA,4846
Eddie Bernice Johnson,Texas,D,H,1993-present,10-Jul,@RepEBJ,NA,8190
John Carter,Texas,R,H,2003-Present,8-Dec,@JudgeCarter,NA,5748
Pete Sessions,Texas,R,H,1997-present,9-Mar,@PeteSessions,NA,5920
Jason Chaffetz,Utah,R,H,2009-2017,8-Dec,@jasoninthehouse,NA,8941
Rob Wittman,Virginia,R,H,Dec 2007-Present,8-Jul,@RobWittman,NA,5054
Robert C. Scott,Virginia,D,H,1993-present,10-Jul,@BobbyScott,NA,5025
Randy Forbes,Virginia,R,H,2001-2017,8-Jun,@Randy_Forbes,NA,3319
Bob Goodlatte,Virginia,R,H,1993-present,9-May,@RepGoodlatte,NA,6099
Eric Cantor,Virginia,R,H,2001-Aug 2014,9-Jan,@EricCantor,NA,7746
Tom Perriello,Virginia,D,H,2009-2011,8-Apr,@tomperriello,NA,8320
Gerry Connolly,Virginia,D,H,2009-present,9-Sep,@GerryConnolly,NA,6364
Scott Rigell,Virginia,R,H,2011-2017,10-Dec,@RepScottRigell,NA,4643
Don Beyer,Virginia,D,H,2015-present,15-Jan,@RepDonBeyer,NA,13.4k
Rick Larsen,Washington,D,H,2001-present,11-Nov,@RepRickLarsen,NA,7604
Cathy McMorris Rodgers,Washington,R,H,2005-present,8-Dec,@cathymcmorris,NA,9297
Dave Reichert,Washington,R,H,2005-present,8-Sep,@davereichert,NA,3551
Suzan DelBene,Washington,D,H,2012-present,12-Dec,@RepDelBene,NA,4202
Dennis Heck,Washington,D,H,2013-Present,13-Jan,@RepDennyHeck,NA,3544
Shelley Moore Capito,West Virginia,R,H,2001-2015,10-Sep,ALREADY IN THE SENATE @SenCapito,NA,6446
David McKinley,West Virginia,R,H,2011-present,11-Jan,@RepMcKinley,NA,5180
Paul Ryan,Wisconsin,R,H,1999-present,9-Jan,@SpeakerRyan,NA,14.3k
Tammy Baldwin,Wisconsin,D,H,1999-2013,13-Jan,ALREADY IN THE SENATE,NA,11.6k
Gwen Moore,Wisconsin,D,H,2005-present,9-Mar,@RepGwenMoore,NA,5964
Sean Duffy,Wisconsin,R,H,2011-present,11-Jan,@RepSeanDuffy,NA,5678
Reid Ribble,Wisconsin,R,H,2011-2017,11-Jan,@RepRibble,NA,3197
Mark Pocan,Wisconsin,D,H,2013-Present,13-Feb,@repmarkpocan,NA,4295
Lisa Murkowski,Alaska,R,S,2002-present,8-Dec,@lisamurkowski,NA,5328
John McCain,Arizona,R,S,1987-present,9-Jan,@SenJohnMcCain,NA,14.3k
Dianne Feinstein,California,D,S,1999-present,12-Jan,@SenFeinstein,NA,6956
Cory Gardner,Colorado,R,S,2015-present,11-Jan,@SenCoryGardner,NA,4002
Richard Blumenthal,Connecticut,D,S,2011-present,11-Apr,@SenBlumenthal,NA,10.2k
Chris Coons,Delaware,D,S,2010-present,8-Jul,@ChrisCoons,NA,9474
Marco Rubio,Florida,R,S,2011-present,8-Apr,@marcorubio,NA,8216
Johnny Isakson,Georgia,R,S,2005-present,9-Sep,@SenatorIsakson,NA,4740
