Name,State,Republican_Democrat,House_Senate,Years_in_office ,Joined_Twitter,Twitter_ID,,Tweets
Steve King,Iowa,R,H,1997-present,9-Jun,@SteveKingIA,,
Rod Blum,Iowa,R,H,2015-Present,15-Jan,@RepRodBlum,,
David Young,Iowa,R,H,2015-Present,11-Jun,@RepDavidYoung,,447
Jerry Moran,Kansas,R,H,1997-2011,9-Jan,ALREADY IN THE SENATE,,4445
Nancy Boyda,Kansas,R,H,2007-2009,NA,NA,,
Dennis Moore,Kansas,D ,H,1999-2011,NA,NA ,,
Todd Tiahrt,Kansas,R,H,1995-2011,NA,NA,,
Tim Huelskamp,Kansas,R,H,1997-2017,11-Jan,@CongHuelskamp,,7599
Lynn Jenkins,Kansas,R,H,2009-Present,9-Jan,@RepLynnJenkins,,5744
Kevin Yoder,Kansas,R,H,2011- present,11-Feb,@RepKevinYoder,,7369
Mike Pompeo,Kansas,R,H,2011-2017,NA,NA,,
Ed Whitfield,Kentucky,R,H,1995-2016,11-Jan,@RepEdWhitfield,,
Ron Lewis,Kentucky,R,H,1994-2009,NA,NA,,
John Yarmuth,Kentucky,D ,H,2007-present,11-Oct,@RepJohnYarmuth,,3223
Geoff Davis,Kentucky,R,H,2005-2012,NA,NA,,
Harold Rogers,Kentucky,R,H,1981-Present,12-Apr,RepHalRogers,,3465
Ben Chandler,Kentucky,D ,H,2004-2013,NA,NA,,
Brett Guthrie,Kentucky,R,H,2000-present,13-Sep,@RepGuthrie,,
Thomas Massie,Kentucky,R,H,2012-present,12-Nov,@RepThomasMassie,,
Andy Barr,Kentucky,R,H,2013-Present,13-Jan,@RepAndyBarr,,
James Comer,Kentucky,R,H,2016-present,12-Sep,@KYComer,,
Bobby Jindal,Louisiana,R,H,2005-2008,8-Oct,JOINED AFTER BECOMING THE GOV,,
Steve Scalise,Louisiana,R,H,1996-Present,13-Feb,@SteveScalise,,8001
William J. Jefferson,Louisiana,D,H,1979-2009,NA,NA,,
Charlie Melancon,Louisiana,D,H,2005-2011,NA,NA ,,
Jim McCrery,Louisiana,R,H,1993-2009,NA,NA,,
Rodney Alexander,Louisiana,R,H,1988-2013,NA,NA,,
Richard baker,Louisiana,R,H,1987-2008,NA,NA,,
Don Cazayoux,Louisiana,D,H,2000-2009,NA,NA,,
Charles Boustany,Louisiana,R,H,2005-2017,NA,NA,,
Joseph Cao,Louisiana,R,H,2009-2011,NA,NA,,
John Fleming,Louisiana,R,H,2009-2017,9-Oct,@RepFleming,,
